Page ID,Page name,Disclaimer,Amount spent (GBP)
134106130027796,Oxfordshire County Council,Oxfordshire County Council,≤100
177127637750592,Good Fish Guide,Marine Conservation Society,≤100
290323924814214,The Athletic,These ads ran without a disclaimer,≤100
200607304110592,Generation UK,"Generation: You Employed, UK",≤100
535040816685041,West Midlands Combined Authority,West Midlands Combined Authority,≤100
1682367945366856,POWER Film,Daniel George Edelstyn,≤100
349596960793,Leeds City Council,Leeds City Council,≤100
382903925130034,Charity Digital,These ads ran without a disclaimer,≤100
280900765597426,Rail Delivery Group,Rail Delivery Group,≤100
100998729985773,Glide,These ads ran without a disclaimer,≤100
105213446201178,International Justice Mission,International Justice Mission,≤100
108060041546260,Zero Carbon Vote,Energy Systems Catapult,≤100
126769490673641,24-7 Prayer,24-7 Prayer,≤100
175990036453966,Compassion in Politics,Compassion in Politics,≤100
313284356719,Depositphotos,These ads ran without a disclaimer,≤100
561268073900459,University of Worcester,These ads ran without a disclaimer,≤100
407959605904723,Labour West Lancashire,West Lancashire Labour,≤100
477429412753494,Tom Hunt MP,Ipswich Conservatives,≤100
201134786694563,Micro Rainbow,These ads ran without a disclaimer,≤100
0,Instagram User 4094047263,These ads ran without a disclaimer,≤100
11871609276,Animal Aid,Animal Aid,≤100
109889911527141,Humber's Mill Development,Axis Land Partnerships,≤100
6406164817,Viva!,Viva! Vegan Charity,≤100
143837658998810,WWT,Wildfowl and Wetlands Trust,≤100
105446422114235,Vote Gary Robinson for Lerwick North & Bressay,Gary Robinson,≤100
200006375787,38 Degrees,38 Degrees,≤100
8807334278,Conservatives,The Conservative Party,≤100
189502464518355,Hammersmith & Fulham Labour,Hammersmith & Fulham Labour,≤100
263162170381168,The Salvation Army United Kingdom and Ireland Territory,The Salvation Army United Kingdom with the Republic of Ireland,≤100
386646754850062,Scottish Borders Green Party,Catriona Isabella Hamilton,≤100
8303218826,Jeff Dunham,These ads ran without a disclaimer,≤100
100188225976430,Cruel substance,These ads ran without a disclaimer,≤100
