Page ID,Page name,Disclaimer,Amount spent (GBP)
113389667191398,ROOT ZERO,Puffin Produce,≤100
193459200711198,Coutts,Cameron Obrien,≤100
129900080517958,ITF - International Transport Workers' Federation,International Transport Workers' Federation,≤100
2015966338421658,Kids Operating Room,Kids Operating Room,≤100
103257605634689,AndyG In Rhosnesni,Andrew Mark Gallanders,≤100
103578991715318,Omni,These ads ran without a disclaimer,≤100
131686740208092,Megaphone UK,Trades Union Congress (TUC),≤100
40526249862,South Wales Argus,These ads ran without a disclaimer,≤100
426833727525567,Aran Curry Property Investor and Educator,These ads ran without a disclaimer,≤100
103739668099261,Ryan O'Gorman Connahs Quay Town Councillor,Ryan Igorhan,≤100
131759943686870,Global Citizen,Global Citizen,≤100
21251598643,BrewDog,These ads ran without a disclaimer,≤100
110934940687948,"Sharon Graham - General Secretary, Unite the Union",Unite Sharon Graham,≤100
1630353057058981,Councillor Leanne Jones - Resolven and Tonna.,Leanne Claire Jones,≤100
110179997249658,Study Experiences,NEXT GENERATION TRAVEL,≤100
1639839762907640,Bettina's Kitchen,These ads ran without a disclaimer,≤100
107057208562660,Saving Animals International,Saving Animals International,≤100
492185221179008,Stirling Coffee,These ads ran without a disclaimer,≤100
2872972349409576,Grŵp Llafur Tref Cwmaman Town Labour Group,Emyr Huw Rees,≤100
83181195937,Findmypast,These ads ran without a disclaimer,≤100
108001205150582,Jazz 4 VP Education,Thomas Joshua Walsh,≤100
104807555517825,Martin Jones Town Councillor Milford Haven Central Ward,Patrick Martin Jones,≤100
6040534532,One Acre Fund,One Acre Fund,≤100
130723600338585,Ethex,Ethex UK,≤100
267923898389217,Hounded Campaign,Hounded Campaign,≤100
477162078975536,Inclusion London,Jonathan Sam Abrams,≤100
284245658291357,Leukaemia Care,Leukaemia Care,≤100
180770375305990,Genpact,Genpact Ltd,≤100
813362708790951,UBP - Union Bancaire Privée,UBP - Union Bancaire Privée,≤100
490858150969676,5Pillars,5Pillars,≤100
126966249559,Pilgrims Choice,Ornua Foods,≤100
112482371099301,NUS UK - National Union of Students Campaigns,National Union of Students (United Kingdom),≤100
955893484542169,"Cllr Tina Higgins, Tycroes. Cyng Tina Higgins,Tycroes.",Mr Calum Paul Higgins,≤100
747344858712134,Wrexham Conservatives,Wrexham Conservatives,≤100
2283373971903553,Cllr David Thomas,David Gwyn Thomas,≤100
16553417732,UK Parliament,UK Parliament,≤100
108867691786737,Jill for Taff's Well,Taff's Well Labour,≤100
114792044195709,Brynyffynnon Community News,MR PETER C4ARLES DERRICK,≤100
106334512054139,Pillgwenlly Liberal Democrats,Mihai Sebastian Munteanu,≤100
