Page ID,Page name,Disclaimer,Amount spent (GBP)
109211185826999,StandWithUs UK,StandWithUs UK,≤100
113277290454039,Common Seas,Common Seas,≤100
83181195937,Findmypast,These ads ran without a disclaimer,≤100
175608624750,Human Appeal - UK,Human Appeal,≤100
626987914308883,PlanetCare,These ads ran without a disclaimer,≤100
112793557719623,Talkliv,These ads ran without a disclaimer,≤100
523852671440088,Scribe,Scribe Accounts,≤100
108378465113502,Cllr. Marshall Douglas SNP Councillor for Tweeddale East,Marshall Neil Douglas,≤100
100692379077028,James Robson,James Stuart Robson,≤100
144873565563070,Desenio,These ads ran without a disclaimer,≤100
315998375705886,FT Live,Financial Times Limited,≤100
164875766907415,John Cox - Banff & District Councillor,John Barclay Cox,≤100
176111239141096,Hybu Cig Cymru - Meat Promotion Wales,Hybu Cig Cymru - Meat Promotion Wales,≤100
387745318079682,Google,These ads ran without a disclaimer,≤100
302663936443949,MadeBrave,MadeBrave,≤100
251962071804061,Four Nine,These ads ran without a disclaimer,≤100
279220399206084,Cllr Margaret Cowie,SLC LabGroup c/o The Labour Paty,≤100
1693020284343542,Lochee Labour,Graeme Angus Mckenzie,≤100
2292442047693325,Cllr Lloyd Melville for Monifieth & Sidlaw,Lloyd Alexander Melville,≤100
208267723853,Clyde 1,These ads ran without a disclaimer,≤100
781385558571100,Councillor Daniel Coleman working for Strathmartine - all year round,Fraser Macpherson,≤100
107467247370056,Susan Murray,Susan Catherine Murray,≤100
325623267987256,Cllr Donald Gatt - Keith & Cullen,Moray Conservatives,≤100
1503185916668051,Left Book Club,Left Book Club,≤100
353259801510350,"Councillor Craig Duncan, working for Broughty Ferry",Fraser Macpherson,≤100
10137900905,Forth 1,These ads ran without a disclaimer,≤100
164779220692722,Jacci Stoyle,Jacqueline Stoyle,≤100
13655260370,Penguin Books,Penguin Books,≤100
232007404119958,Steve Bartlett,These ads ran without a disclaimer,≤100
111167028176337,Позвони России,These ads ran without a disclaimer,≤100
108074544072075,Athol Bond for UWS President,Miss Ellie Bethany Gomersall,≤100
101240078311364,Planetary International,Planetary International,≤100
108113945197386,Re Elect Maureen Devlin,Mrs Maureen Patricia Devlin,≤100
644323109017426,Ecotalk,Ecotricity Limited,≤100
2924272814275805,Hylo,These ads ran without a disclaimer,≤100
349283725457163,Councillor Kenneth Duffy,Kenneth Gareth Duffy,≤100
107806921127903,Collate,Collate Technologies Ltd.,≤100
1380791542180139,Time To Help UK,Time to Help UK,≤100
103198775674945,Martin Willcocks “Calais Woods Guy”,willcocks roofing ltd,≤100
1058947064227277,10X Growth Conference,These ads ran without a disclaimer,≤100
100124738518639,Louise Spence for Colinton Fairmilehead,Louise Watson Spence,≤100
106805084894703,TOPIA Magazine,TOPIA Magazine,≤100
213436452774656,The Toasted Marshmallow Scout Shop,Alexander Robert Kirkwood,≤100
684057878443678,Eunis Jassemi for Victoria Park,Eunis Jassemi Zargani,≤100
827704760698106,"Robin Tatler, Independent Councillor for Tweeddale East",Charles Robin Tatler,≤100
113774459487,Seedrs,Seedrs,≤100
107443085210859,Cllr. Simita Kumar - Southside Newington,Simita Kumar,≤100
137385490131,Electoral Reform Society,Electoral Reform Society,≤100
103923675579478,Willie McEwan. Working for Penicuik,Scottish Labour Party,≤100
1220981994590364,FT Partner Content,These ads ran without a disclaimer,≤100
269383906869137,VERCIDA,Vercida,≤100
63451405593,NFU Online,NFU Online,≤100
774647042625672,West Lothian Greens,Cameron Glasgow,≤100
109316091677430,Qaiser Habib SNP,Qaiser Habib,≤100
216135638510823,ConversionWise,These ads ran without a disclaimer,≤100
128993570121,Environmental Justice Foundation,Environmental Justice Foundation,≤100
135962813151731,Doctors Worldwide,Doctors Worldwide,≤100
108912984982307,Pasyourtime,These ads ran without a disclaimer,≤100
117661796309061,West Lothian Liberal Democrats,"Derek Pattle, West Lothian Liberal Democrats, 4 Clifton Terrace, Edinburgh, EH12 5DR",≤100
109420291656593,Shaun Moat - Independent Candidate Moray Council Elections 2022,Shaun Moat,≤100
1079892818765620,Dulux Academy,These ads ran without a disclaimer,≤100
107481695963015,Click & Grow,These ads ran without a disclaimer,≤100
117476785190,Save the Children UK,These ads ran without a disclaimer,≤100
457538647631630,We Own It,We Own It,≤100
72173293788,Glasgow Science Centre,Glasgow Science Centre,≤100
167354146795234,Embassy of Hungary in London/ Magyarország Londoni Nagykövetsége,Magyarország Nagykövetsége London,≤100
289541331085998,Communities Housing Trust,Communities Housing Trust,≤100
104162175603966,Dave Cuthbert Independent Councillor,David John Macgregor Cuthbert,≤100
45093379305,Farmers Guardian,Farmers Guardian,≤100
104161738754850,MacEoghainn in the Community Party,Andrew Michael Maceoghainn,≤100
102736235538317,Evmotors.live,These ads ran without a disclaimer,≤100
