Page ID,Page name,Disclaimer,Amount spent (USD)
6580173137,Alan Grayson,COMMITTEE TO ELECT ALAN GRAYSON,321
89336510798,American Friends of the Hebrew University,American Friends of Hebrew University,319
162244692732,Brennan Center for Justice at NYU Law,"WILLIAM J. BRENNAN CENTER FOR JUSTICE, INC.",317
300992409852,Hoover Institution,Hoover Institution,311
274975862998213,Profs and Pints,Profs and Pints,311
850100261845290,Outer,OUTER INC,309
570092813023833,Matt Walsh,The Daily Wire,307
6476528946,NAACP,National Association for the Advancement of Colored People (NAACP),305
404929222888251,Conservation Colorado,Conservation Colorado,304
145973965440671,Carnegie Corporation of New York,CARNEGIE CORPORATION OF NEW YORK,304
190343811069679,Peter Franchot,Franchot Anderson-Walker for Maryland Slate,303
284293125336159,Regulatory Transparency Project,FEDERALIST SOCIETY FOR LAW & PUBLIC POLICY STUDIES,301
228132537208218,Tammy Duckworth,TAMMY FOR ILLINOIS,301
273823172633650,Foundation for Government Accountability,The Foundation for Government Accountability,300
148494598849,Milken Educator Awards,MILKEN FAMILY FOUNDATION,300
397900924019598,Mindspace USA,These ads ran without a disclaimer,298
132434210763801,Secure Community Network,Secure Community Network,297
110700067011185,No Dem Left Behind PAC,NO DEM LEFT BEHIND PAC,297
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,297
346937065399354,Occupy Democrats,RO FOR CONGRESS INC,295
140357056032320,NEA Today,National Education Association,295
286532221381219,Nina Turner,Nina Turner for US,292
114094675305938,Food Grows Where Water Flows,CA FARM WATER COALITION,290
17002121901,Lancôme,L OREAL USA,289
272321759583178,Conservatives for Responsible Stewardship,Conservatives for Responsible Stewardship,287
1593518174052711,Candace Owens,Daily Wire,286
33110852384,Doctors Without Borders/Médecins Sans Frontières (MSF),These ads ran without a disclaimer,284
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,284
104745299569161,National Indian Health Board,NATIONAL INDIAN HEALTH BOARD,279
1431889706937050,Free & Fair Markets Initiative,"Free and Fair Markets Initiative, Inc.",279
104811701387594,Our Community's Health,TruthNotLies,276
297987334762,Jamie Raskin,Jamie Raskin for Congress,274
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,274
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,268
6502038524,First Book,FIRST BOOK,265
100684991996307,November Coalition,NOVEMBER COALITION,265
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",263
90389813340,American Association of Political Consultants,AAPC,263
159162680779552,D.C. Department of Consumer and Regulatory Affairs,Department of Consumer and Regulatory Affairs,263
111594101516954,Reardon Sullivan for MoCo,REARDON SULLIVAN FOR MOCO,254
36474716066,Color Of Change,ColorofChange.org,253
687589164666184,MasterClass,MasterClass,252
5593944035,Competitive Enterprise Institute,COMPETITIVE ENTERPRISE INSTITUTE,251
140499052681592,Bank of the West,BANK OF THE WEST,249
90486735811,Audible,Audible,249
105332352079752,Killmeyer for Congress,KILLMEYER FOR CONGRESS,249
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",248
542678889114683,The Coca-Cola Company,The Coca-Cola Company,246
107391351117812,National Women's Law Center Action Fund,National Women's Law Center Action Fund,245
262406012332343,Corner Renovation,These ads ran without a disclaimer,244
34362997676,United States Holocaust Memorial Museum,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,244
102962005756187,Briannefordc,Brianne for DC 2022,243
1483977658578577,Jasmine Beach-Ferrara,JASMINE BEACH-FERRARA FOR CONGRESS,243
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",242
214061167976,El Tiempo Latino,MASTV EL PLANETA LLC,238
124326681036084,Katie Hobbs,Elect Katie Hobbs,238
224986157558341,PNC,PNC FINANCIAL SERVICES GROUP INC,237
385473284886474,Hillsdale College,Hillsdale College,235
108281434237351,UBS Financial Services Inc.,UBS Financial Services,234
1780867608827439,H Fisk Johnson,"S. C. Johnson & Son, Inc.",232
111599501510612,D.C. Statehood PAC,DC STATEHOOD PAC,230
732577910530813,Climate Emergency Fund,Climate Emergency Fund,230
134535726580904,Maggie Hassan,Maggie for NH,228
167586229923327,World Food Program USA,World Food Program USA with Facebook Ad Credits,227
269479249997,NSSF—The Firearm Industry Trade Association,National Shooting Sports Foundation,226
67626834312,National Women's Law Center,National Women's Law Center,225
100373975829221,Fòs Feminista Org,Fòs Feminista,222
197374340229,E2 - Environmental Entrepreneurs,E2 (Environmental Entrepreneurs),221
243502949110951,Airport Workers United,SERVICE EMPLOYEES INTERNATIONAL UNION,221
21254802378,Cathedral Choral Society,These ads ran without a disclaimer,220
137400059634429,Gaithersburg Book Festival,City of Gaithersburg,218
106900438526618,Our America Living,Our America Living,218
102279051960,General Motors,General Motors,217
160389977329803,ATTN:,ATTN: INC.,216
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",216
488927001143403,IMGE,IMGE,215
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),215
83996318078,Change.org,"Change.org, PBC",214
198024590300902,Josh Shapiro,Josh Shapiro,213
82609311925,GreenLatinos,GREENLATINOS,212
344175515603105,Southern Company,These ads ran without a disclaimer,211
216397232833,Penzeys Spices,Penzeys Ltd,210
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,209
580610428636345,Fight for $15,Fight for $15,209
121626482110,Operation Smile,OPERATION SMILE,208
75608370019,United States Institute of Peace,UNITED STATES INSTITUTE OF PEACE,206
620882164603697,Cover Virginia,Virginia Department of Medical Assistance Services,206
112463982125496,Maryland State Education Association,MARYLAND STATE EDUCATION ASSOCIATION,203
55982004572,PayPal,"PayPal, Inc.",203
109320440856128,Together Beat Hate,"Foundation to Combat Anti-Semitism, Inc.",202
201248453800242,My Pay My Say,Mackinac Center for Public Policy,201
290614577637932,Office of the State Superintendent of Education,These ads ran without a disclaimer,200
112735922758892,Charlie Kirk,"ATK Media, Inc.",200
219242560293,Meals on Wheels America,Meals on Wheels,198
100707085980943,EricG4Ward3,Eric for Ward 3,198
111393882812494,Amy McGrath,The American SOS Project,196
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",194
91346559231,Democratic Legislative Campaign Committee - DLCC,Democratic Legislative Campaign Committee,193
305380096638473,Charles Booker,Booker for Kentucky,193
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",193
81517275796,UNICEF USA,These ads ran without a disclaimer,191
290142351936889,Patient Rights Advocate,PATIENT RIGHTS ADVOCATE INC,188
109352563640,Water.org,WATER.ORG INC.,188
131306317680000,Social Goods,"Social Goods, LLC",187
30792325085,Bipartisan Policy Center,"BIPARTISAN POLICY CENTER, INC.",187
23790541544,Democrats,DCCC,187
7229514244,Drug Policy Alliance,DRUG POLICY ALLIANCE,187
110177119192569,Knightscope,"Knightscope, Inc.",186
25852730092,Care2,"Care2.com, Inc",184
103322421921933,Spencer Toder for Senate,SPENCER TODER FOR SENATE,184
102964795715686,Matthew Frumin for Ward 3,Frumin for Ward 3,182
502216386575351,Kelly Schulz,"Kelly Schulz for Governor, Inc.",181
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,181
321088559302,Keep America Beautiful,"KEEP AMERICA BEAUTIFUL, INC.",179
114403475331321,Shot,Shot@Life,175
322557811101765,Provide,"PROVIDE, INC.",174
14957887077,Freedom House,"FREEDOM HOUSE, INC.",173
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,173
77273593330,Hillel International,HILLEL THE FOUNDATION FOR JEWISH CAMPUS LIFE,172
17002121901,Lancôme,These ads ran without a disclaimer,172
431409220394183,The Ward 8 Democrats,"Ward Eight Democrats, Inc",172
57259033959,AARP,AARP,171
114720264544782,Moving Forward,Seniors Today USA,170
46093654473,National Republican Congressional Committee,NRCC,169
289446947817747,Global Citizen,"GLOBAL POVERTY PROJECT, INC.",169
2390004754407420,Childcare Changemakers,Community Change Action,168
5435784683,Greenpeace USA,"GREENPEACE, INC.",168
169597416843751,Stand Up America,Stand Up America,168
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",167
7341997111,Conservation International,Conservation International,167
201615809995834,The LIBRE Initiative - Virginia,The Libre Initiative,166
8047221596,Save the Children US,"SAVE THE CHILDREN FEDERATION, INC.",165
1522121398082073,Virginians for Better Transportation,VIRGINIA TRANSPORTATION CONSTRUCTION ALLIANCE,164
1575347412785991,cheddar news,Cheddar News,163
103895903033696,Zakaz.ua,These ads ran without a disclaimer,162
592707041080920,Stand Together,Stand Together Chamber of Commerce Inc.,161
100689592336419,Homes Panel,Homes Panel,161
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",159
400505623360875,SEIU Virginia 512,SEIU Virginia 512,158
343714718985673,Think Wood,Think Wood,158
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,157
655065784538368,PredictIt,"PredictIt - Prediction Markets. A project of Victoria University of Wellington, PredictIt has been established to facilitate research into the way markets forecast events.",157
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",157
107445151903077,Clean Up Bitcoin,GREENPEACE INC,156
1600352356914768,PushBlack,PushBlack,155
240581242656623,Under Armour Basketball,These ads ran without a disclaimer,155
182620315479,Plan International USA,Plan International USA,154
681626158940626,Mission Roll Call,Americas Warrior Partnership,153
228598547167475,Yasmin Mogahed,These ads ran without a disclaimer,153
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,152
7483836629,Ancestry,Ancestry.com Operations Inc.,151
109942490677941,I Love Art Tours,These ads ran without a disclaimer,150
150621451650636,Wild Montana,Wild Montana,150
1869687273277265,Run for Something,Run For Something PAC,149
289446947817747,Global Citizen,"Global Poverty Project, Inc. DBA Global Citizen with Facebook Ad Credits",148
9324910069,NRSC,NRSC,148
100289605857598,United Solutions,United Solutions,144
916908791847627,Prosperity Michigan,Prosperity Michigan,144
265584563563176,JCRC of Greater Washington,The Jewish Community Relations Council of Greater Washington,144
8501031021,VoteVets.org,VOTEVETS,143
110666905614083,Dial,HENKEL CORP,141
38471053686,Elizabeth Warren,"WARREN DEMOCRATS, INC.",140
92925746942,Judicial Watch,Judicial Watch,139
246323280108,American Medical Association,American Medical Association,139
168263186567879,Sargento Cheese,These ads ran without a disclaimer,138
442553959494293,Center for Climate Integrity,Center for Climate Integrity,138
36872302227,Cory Booker,CORY BOOKER FOR SENATE,136
34370387440,JDRF,JDRF INTERNATIONAL,133
443329669123990,USAFacts,USAFacts Institute,133
19746387261,Humane Society International,Humane Society International,133
350688712008385,The Wise Investor Group - Baird Private Wealth Management,Robert W. Baird & Co. Incorporated,131
38897314734,Trust for Public Land,"TRUST FOR PUBLIC LAND, THE",131
8325302025,Friends of the Earth U.S.,Friends of the Earth,130
106913491375624,Israel War Room,Israel War Room,128
1634651343331439,Project Wren,Landon Scott Brand,128
25852730092,Care2,Care2 Inc,126
107840908497994,Georgia Intel Unlimited,GARY BLACK FOR SENATE INC.,124
430964644347524,Campaign Ad-Cloud,Campaign Ad-Cloud,124
253507715172780,Andy Levin,ANDY LEVIN FOR CONGRESS,124
189097124503473,Goldco,GoldCo,124
