Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
679837345546421,Felipe D'Avila,Luiz Felipe d'Avila,10617,44
140386962704024,Governo de Pernambuco,Governo de Pernambuco,10601,193
1432293743711868,Romero,Romero Lima Bezerra de Albuquerque,10589,33
391175961040598,ADE SAMPA,ADE SAMPA,10583,24
288412514669518,Maranhão com Brandão,Pedro Chagas,10578,28
1619570641615465,Fernando Marangoni,FERNAND0 JOSE DE SOUZA MARANGONI,10563,413
224968724875918,Idilvan,Antonio Alencar,10426,38
238761896484083,Rosana Valle,Rosana Valle,10418,90
267918733707038,Eduardo Ricatto,Carlos Eduardo Ricatto,10290,45
111609574485770,Silvio Mendes,Silvio Mendes,10248,80
1661016600811731,Rodrigo Gambale,Rodrigo Gambale Vieira,10190,88
129125850959364,Daniel José,Daniel Jose Da Silva Oliveira,10123,36
540623862669654,Deputado Estadual José Américo,José Américo DIas,10094,415
144112092312277,João Doria,Partido da Social Democracia Brasileira,10092,12
103920308461143,Observatório Social da Petrobrás,Cajuína Produções e Mídia Digital,10089,67
1611963792244876,Ana Paula Siqueira,Ana Siqueira,10080,89
1385523878422010,Dr. Vicente Caropreso,Dr. Vicente Caropreso,10071,211
744196388945576,Pedro Cunha Lima,PSDB,10000,25
508695495823045,Assembleia Legislativa do Estado do Maranhão,Assembleia Legislativa do Maranhão,10000,1
520798404655508,Baleia Rossi,MOVIMENTO DEMOCRÁTICO BRASILEIRO,10000,7
1678605519056745,Rodrigo Goulart,Rodrigo Goulart,9970,50
103015684871449,Dr. Victor Linhalis,Victor Linhalis,9968,100
339606729398017,Roberto Requião,Roberto Requiao De Mello E Silva,9965,32
1823290424577861,Felipe Camarão,Felipe Costa Camarão,9957,25
134450246716954,Governo do Estado de Santa Catarina,Secretaria de Estado da Comunicação,9830,58
499506757154336,Julia Lucy DF,Júlia Lucy DF,9825,62
201991609984528,Odair Cunha,Odair José da Cunha,9698,341
106091268052699,Prefeitura de Diadema,Prefeitura de Diadema,9662,31
651900074836103,Dr. Laércio Sandes,Laercio Sandes De Oliveira,9649,67
305977962832385,Bruno Souza,Bruno Souza,9617,98
533495260042236,Sérgio Souza,Sérgio Souza,9518,311
359314460836674,Veus Saúde,VEUSTEC SERV DE INFORMATICA LTDA,9460,23
158894974200303,Vitor Lippi,Vitor Lippi,9429,162
289932741037155,Eli Corrêa Filho,Adriano Eli Correa,9419,84
634088706992472,Gustavo Mitre,Gustavo Mitre,9385,78
373794016040451,Durval Orlato,Durval Lopes Orlato,9380,37
736310057090429,IDCAP - Instituto de Desenvolvimento e Capacitação.,These ads ran without a disclaimer,9353,3
279027863918379,Andressa Rocha,MÁRCIA ALEX SANDRA FRAGA,9319,20
103654108205888,Reforma Administrativa não,CAJUINA PRODUÇÕES E MÍDIA DIGITAL,9316,72
110311934620619,Pill Farmácia Digital,These ads ran without a disclaimer,9291,6
1615499735412167,Emanuel Mota,Emanuel Maia Mota,9263,69
500096303711663,Thiago Rangel,Thiago Rangel Lima,9259,23
110779533634995,Salve Seus Dados,Associação Nacional dos Empregados da Dataprev,9233,180
280413655431834,AMB - Associação Médica Brasileira,Associação Médica Brasileira,9224,22
323321181084151,Saúde Bahia - Sesab,These ads ran without a disclaimer,9131,1
170166996524709,Orlando Morando,Orlando Morando Junior,9125,56
2544666325578449,Eleja.se,Eleja.se,9120,58
171262403579475,Major Ricardo Silva,Major Ricardo Silva,9035,137
278143308883621,Plox,Plox,8984,16
976096509238821,Talita Oliveira,Talita Santos De Oliveira,8919,100
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,8867,54
107281178575476,Gui Azambuja PT Goiás,Guilherme Azambuja Castelo Branco,8826,447
1737308239666824,Janad Valcari,Janad Marques De Freitas Valcari,8802,346
107933945163729,Jessica Kuhn,Maira Darlene Dutra De Oliveira,8783,63
163852833738546,Vinicius Camarinha,Vinicius Camarinha,8775,123
103061151908008,André Corrêa é Valença,André Corrêa,8726,49
108588971429858,O Estado do Piauí,O Estado do Piauí,8683,25
103278651903204,Renato Filho,Renato Filho,8680,12
102287242156069,Bruno Roberto,Bruno Figueiredo Roberto,8594,79
689450984719905,Silvinho Filho,Silvio Eduardo Conegliam Peccioli,8592,100
150173181780068,Sefaz - Secretaria de Estado da Fazenda de Alagoas,Secretaria de Estado da Fazenda de Alagoas,8590,34
1496677140634911,Luis Miranda USA,Luis miranda,8585,10
471715223024151,Instituto Liberdade e Cidadania,Instituto Liberdade e Cidadania,8530,6
101821409144767,Roberto Teixeira Farias,Erico Cerqueira,8507,86
128539433945451,Edivaldo Holanda Junior,Edivaldo Holanda Junior,8493,7
366998400031953,ACM Neto,DEMOCRATAS DIRETÓRIO NACIONAL,8484,21
1528518104055044,Dr Daniel Santos,Dr. Daniel Santos,8467,71
111006700550820,Cenarium,CENARIUM AGENCIA DE NOTICIAS EIRELI,8402,1048
1671656236440009,Mauro Tramonte,Mauro Tramonte,8382,49
163372447147733,Cidade de Assis,Prefeitura de Assis,8307,62
330305027010818,Goulart,Goulart,8299,45
611112112239401,Dr. Mário Heringer,MARIO LUCIO HERINGER,8281,321
169256053217676,Saerp - Secretaria de Água e Esgoto de Ribeirão Preto,Prefeitura de Ribeirão Preto,8277,27
220778897969256,Zeca Dirceu,Jose Carlos Becker De Oliveira E Silva,8257,78
471671089570830,Luiz Carlos Martins - Oi Oi,Luiz Carlos Martins,8255,94
669979576373645,Delegado Eduardo Boigues,Delegado Eduardo Boigues,8253,400
977607505682751,CP Iuris,These ads ran without a disclaimer,8237,29
1960660980851902,Leiagora Portal de Notícias,PORTAL DE NOTICIAS LEIAGORA,8206,87
484137231655181,Herculano Passos,Herculano Passos,8179,109
348704312899125,foconofato,Gabriel Melo,8166,42
600112283417119,Márcio Coimbra,MÁRCIO CHALEGRE COIMBRA,8145,128
998620913587874,TC,TC TRADERS CLUB SA,8112,10
200263040068985,Ricardo Silva,Ricardo Augusto Machado Da Silva,8091,21
179856875529257,Padre João PT,João Carlos Siqueira,8059,80
173893106110090,Danilo Morgado,Murilo Dos Santos Pereira,8053,31
590571851118552,Isolda,MARIA ISOLDA DANTAS DE MOURA,8027,100
1069477603133660,Maria Giovana Fortunato,Maria Giovana Luchiari Pisoni Duarte Fortunato,8002,55
212423668965384,Heitor Schuch,Heitor Schuch,7996,63
187869627968575,Roberto Tripoli,Roberto Tripoli,7977,79
106147295393812,Gabriela Correa,Eva Gularte Dias,7966,40
105527742878890,Prefeitura do Recife,Prefeitura do Recife,7958,52
731287436996788,Wilson Paiva,Wilson Paiva,7886,24
611089352393703,Rosangela Donadon - Deputada Estadual,Rosangela Henrique Pereira Donadon,7867,29
248367292026750,Rossieli Soares,Rossieli Silva,7808,250
737826499632743,Lira Filmes,Thuane Sobral Chaves,7801,19
746142758829299,Clécio Luis,Clecio Luis Vilhena Vieira,7798,44
323983461125902,O Antagonista,Mare Clausum Publicações LTDA,7794,128
104418595539585,Israel Alexandre,Israel Souza,7721,20
1475834059299747,Rodrigo Amorim,Rodrigo Martins Pires de Amorim,7717,39
201878973201295,Republicanos10,Republicanos10,7706,107
280207712721855,Mara Rocha,Mara Rocha,7696,83
549765801726215,Rubens Bueno,Rubens Bueno,7667,157
453401278092959,Aprovação PGE,These ads ran without a disclaimer,7663,22
124463777940096,Roberto Costa,Jose Roberto Costa Santos,7640,44
425350744240843,Comitê Internacional da Cruz Vermelha,These ads ran without a disclaimer,7606,1
104298494763365,Renata Bravo,Renata Oliveira,7598,51
1995684880734932,Carlão Pignatari,Guilherme Cota,7577,76
1424575394420539,Sindicato Nacional dos Aeronautas,Sindicato Nacional dos Aeronautas,7541,102
475113842596525,Museu do Amanhã,Museu do Amanhã,7532,14
100381658780941,agencia.brasilia,Admax Soluções em Internet Ltda,7528,55
111174443891469,Pedro Lobo PT,Pedro Neto Lobo Soares,7516,155
178208525899690,João Catunda,Joao Victor Loureiro Pessoa Catunda,7491,13
109789152161,Sou da Paz,Instituto Sou da Paz,7486,78
645681708802441,Rodrigo Cunha,Rodrigo Cunha,7450,59
189155134486560,Ricardo Tripoli,Ricardo Tripoli,7421,18
223979774416282,Jaqueline Silva,Jaqueline Silva,7398,40
1389429587984302,Renato Antunes,Paulo Renato Antunes Guimaraes,7394,54
1700227383437806,OC Advogados,Oliveira e Carneiro Sociedade de Advogados,7392,82
234504343286488,Roberto de Lucena,ROBERTO ALVES DE LUCENA,7353,78
141405472616844,Edmir Chedid,Edmir José Abi Chedid,7352,131
448830491818835,Alex Da Piatã,Alex Lopes Da Silva,7289,551
459077604164390,Radar Amazônico,Radar Amazônico,7233,123
141670129347094,Elizeu Nascimento,Elizeu Nascimento,7195,93
768060443312721,Walter Ihoshi,Walter Ihoshi,7189,99
200773697350,GuiaInvest,GUIAINVEST SERV DE TECNOLOGIA DA INFORMACAO LTDA,7183,40
102138423231691,Revista Semana Online,Victor Luiz Barone Junior,7182,559
104202395537769,Chico Humberto,Aloisio Prado,7161,74
387762847933217,Ana Paula Lima,Ana Paula de Souza Lima,7159,44
891195510907753,Bernardo Mucida,Bernardo Mucida,7147,34
182917691817521,Marta Rodrigues,Marta Rodrigues Sousa de Brito Costa,7140,44
489383607761535,Sidney Leite,Deputado Sidney Leite,7133,50
106308415121143,Politique - Detalhamento de Votos,Tiago Cabral,7129,49
699693400101917,Cabo Gilberto Silva,Gilberto Gomes da Silva,7020,112
