Page ID,Page name,Disclaimer,Amount spent (BRL)
616601385062773,MH Multimarcas - Original como você.,These ads ran without a disclaimer,≤100
580248375697146,Beto Noronha,ADALBERTO DE OLIVEIRA NORONHA,≤100
503388809729357,Deputado Aelton,AELTON FREITAS,≤100
359871157981726,Decorando a Lei Seca,These ads ran without a disclaimer,≤100
118524398580532,Antônio Henrique,Antonio Henrique Da Silva,≤100
2266917150206677,Marcelo Nascimento,Professor Marcelo Nascimento,≤100
101408615778462,Edcley Coelho,Edclay Coelho,≤100
1803149286411093,Fernando Luz,Fernando Luz,≤100
102477652439937,Revson_mourao,Revson Morais,≤100
1872848156082770,"Página ""Marcelo Teixeira""",Marcelo Santos Teixeira,≤100
104734662920317,Telecine,These ads ran without a disclaimer,≤100
195946061219031,Gilson de Souza,Danilo Cruz,≤100
103562412231698,Circuito InovaHack,Lucas Monguilhott Pinho,≤100
266503833501816,Claudio Abrantes,Claudio Abrantes,≤100
108337504019947,philipemeloipojuca,These ads ran without a disclaimer,≤100
973684822708999,Honorato a voz que não se cala,Edson Lima,≤100
460097740751776,Tudo Em Dia,Paulo Cesar Braga,≤100
102557081946052,Zé Vicente,JOSÉ LIMA,≤100
703029363127813,Jari,Jari Simao De Oliveira Junior,≤100
217836878738909,Marcelo Nanini,Marcelo Nanini Franci,≤100
309565995780002,Samuel Pereira,Samuel Pereira,≤100
112149260353931,Mandata AtivOz,Rafael Borguin Eustáquio,≤100
105130024694896,Ecomed Saúde,These ads ran without a disclaimer,≤100
350266359396563,Delegado Francisco Sampaio,Francisco Sampaio,≤100
106376334341441,Dr. Bruno Calil,Gabriel Machado,≤100
102952215728702,Chapa Mara,These ads ran without a disclaimer,≤100
1526870777612230,Amom Mandel,Amom Mandel Lins Filho,≤100
1699109920321682,Claudio Aragão,Claudio Aragão,≤100
367090136979222,Neizão,Claudinei Lucio Rodrigues,≤100
185521925552388,Bia Cavassa,Beatriz Rosalia Ribeiro Cavassa De Oliveira Rosalia Ribeiro Cavassa De,≤100
195135431290980,Bernardo Silviano Brandão,Bernardo Silviano Brandão Vianna,≤100
462843040551926,Bruno Marini,Bruno Marini,≤100
235310816484046,Prefeitura de Araras,Prefeitura de Araras,≤100
2109538449371324,Fabrizio Ferraz,Fabrizio Ferraz,≤100
190642107714952,Otavio Leite,Otavio Leite,≤100
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,≤100
279314692415274,Professor Miguel,Miguel Lopes Cardoso Junior,≤100
416927782093880,Deputado Valmir Moretto,Valmir Moretto,≤100
1155434797838038,Supermercado Forte,These ads ran without a disclaimer,≤100
401387633313015,Câmara Municipal de Juatuba,Câmara Municipal de Juatuba,≤100
266516326759206,Juliana Cardoso,Juliana Cardoso,≤100
102896298706656,Soberanos Da Pátria,Rafael Silva,≤100
555803774486872,Marcio Bittar,Marcio Bittar,≤100
